SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
3919,20:41,,20:49,,20:56,,21:01,21:04,21:07,21:11,21:16,,,,
3321,20:48,,20:55,20:59,21:03,21:06,21:09,21:12,21:15,21:19,21:24,21:27,21:30,21:34,21:38
3325,21:04,,21:11,21:15,21:19,21:22,21:25,21:28,21:31,21:35,21:40,21:43,21:46,21:50,21:54
3937,21:15,,21:23,,21:30,,21:35,21:38,21:41,21:45,21:50,,,,
3329,21:20,,21:27,21:31,21:35,21:38,21:41,21:44,21:47,21:51,21:56,21:59,22:02,22:06,22:10
3333,21:36,,21:43,21:47,21:51,21:54,21:57,22:00,22:03,22:07,22:12,22:15,22:18,22:22,22:26
3935,21:47,,21:55,,22:02,,22:07,22:10,22:13,22:17,22:22,,,,
3337,21:52,,21:59,22:03,22:07,22:10,22:13,22:16,22:19,22:23,22:28,22:31,22:34,22:38,22:42
3341,22:08,,22:15,22:19,22:23,22:26,22:29,22:32,22:35,22:39,22:44,22:47,22:50,22:54,22:58
3943,22:14,,22:22,,22:29,,22:34,22:37,22:40,22:44,22:49,,,,
3945,22:24,,22:31,22:35,22:39,22:42,22:45,22:48,22:51,22:55,23:00,,,,
3349,22:40,,22:47,22:51,22:55,22:58,23:01,23:04,23:07,23:11,23:16,23:19,23:22,23:26,23:30
3961,22:50,,22:58,,23:05,,23:10,23:13,23:16,23:20,23:25,,,,
3953,22:56,,23:03,23:07,23:11,23:14,23:17,23:20,23:23,23:27,23:32,,,,
3965,23:04,,23:12,,23:19,,23:24,23:27,23:30,23:34,23:39,,,,
